restaurant_name,category,pricing_for_2,locality,dining_rating,dining_review_count,delivery_rating,delivery_rating_count,website,address,phone_no,latitude,longitude,known_for2,known_for22
Rustom's,"Parsi, Street Food, North Indian, Desserts, Beverages",2100,"ito, new delhi",4.9,1885,4.4,1844,https://www.zomato.com/ncr/rustoms-ito-new-delhi,"Delhi Parsi Anjuman, LNJP Colony, Bahadur Shah Zafar Road, Near Maulana Azad Medical College Campus, ITO, New Delhi",9.1991E+11,28.638167,77.240472,not specified,not specified
Cafe Lota,"Cafe, South Indian, North Indian, Beverages",1200,"pragati maidan, new delhi",4.9,3748,3.9,37,https://www.zomato.com/ncr/cafe-lota-pragati-maidan-new-delhi,"National Crafts Museum, Gate 2, Bhairon Marg, Pragati Maidan, New Delhi",9.17839E+11,28.613429,77.242471,"pondicherry fish curry, coconut rabdi, sabudana pop corn, chicken pasanda, majestic chicken, bhapa doi","artistic decor, the service, natural ambience, fusion menu, serene ambience, fusion food"
Dum-Pukht - ITC Maurya,"Mughlai, North Indian, Desserts",5000,"itc maurya, chanakyapuri, new delhi",4.9,1371,0.0,0,https://www.zomato.com/ncr/dum-pukht-itc-maurya-chanakyapuri-new-delhi,"ITC Maurya, Chanakyapuri, New Delhi",9.11146E+11,28.5982003,77.17366073,"royal ambiance and mughlai cuisine, also received the ""times food award 2015"" for culinary heritage",not specified
Burma Burma,"Asian, Burmese, Bubble Tea, Desserts, Salad",1600,"cyber hub, dlf cyber city, gurgaon",4.9,2636,4.4,1238,https://www.zomato.com/ncr/burma-burma-dlf-cyber-city,"Shop 6, Ground Floor, Building 8, Tower C, Cyber Hub, DLF Cyber City, Gurgaon",9.11244E+11,28.49446439,77.08853245,"coconut milk dessert, honey caviar, kaffir lime cooler, samosa curry, samosa soup, corn curry","knowledgeable staff, authentic, soothing ambience, dessert menu, pure veg, cozy"
The Big Chill,"Continental, American, Italian",1500,"khan market, new delhi",4.9,6487,0.0,0,https://www.zomato.com/ncr/the-big-chill-khan-market-new-delhi,"68-A, Khan Market, New Delhi",9.11142E+11,28.60035007,77.22749334,"irish cream tiramisu, penne vodka, mississippi mudpie, iced tea pitcher, tuna melt, banofi pie","retro ambience, yummy desserts, big portions, big menu, happy place, great decor"
Carnatic Cafe,South Indian,600,"lodhi colony, new delhi",4.9,2518,4.2,931,https://www.zomato.com/ncr/carnatic-cafe-lodhi-colony-new-delhi,"84-85, Meharchand Market, Lodhi Road, Near Lodhi Colony, New Delhi",9.19667E+11,28.584296,77.226613,"malleshwari dosa, benne khali dosa, obbattu, raagi masala dosa, bombat dosa, puliyogare","cosy ambience, live kitchen, quiet place, calm, cosy place, nice decor"
"Cocktails & Dreams, Speakeasy","Nepalese, Tibetan, Beverages",2500,"sector 15, gurgaon",4.9,1299,3.8,25,https://www.zomato.com/ncr/cocktails-dreams-speakeasy-sector-15,"SCO 23, Sector 15, Gurgaon",9.11244E+11,28.45797541,77.0446267,"classic martini, coktails, bloody mary, calamari, bacon, pork","jazz music, band playing, bartender, live band, live performances, bar counter"
Natural Ice Cream,"Ice Cream, Desserts",400,"connaught place, new delhi",4.9,4014,4.5,6969,https://www.zomato.com/NaturalsCP,"L-8, L Block, Outer Circle, Connaught Place, New Delhi",9.11144E+11,28.63444917,77.22203437,"watermelon ice cream, choco bite, chocobite, choco almond, roasted almond ice cream, tender coconut ice cream","bank for the buck, totally worth it, coffee date, table service, happy place, great flavour"
Kuremal Mohan Lal Kulfi Wale,"Ice Cream, Desserts",200,"chawri bazar, new delhi",4.9,1120,0.0,5,https://www.zomato.com/ncr/kuremal-mohan-lal-kulfi-wale-chawri-bazar-new-delhi,"526, Kucha Pati Ram, Bazar Sita Ram, Near Chawri Bazar Metro Station, Chawri Bazar, New Delhi",9.19811E+11,28.64766195,77.22699109,"orange kulfi, jamun kulfi, mixed fruit, fruit cream, ice creams, dessert","bank for the buck, totally worth it, table service, authenticity, concept, owner"
Juggernaut,"South Indian, North Indian, Fast Food, Desserts, Beverages",700,"kailash colony, new delhi",4.8,2480,4.2,573,https://www.zomato.com/ncr/juggernaut-kailash-colony-new-delhi,"HS-16, Main Market, Kailash Colony, New Delhi",9.11141E+11,28.55293914,77.24094898,"podi ghee idli, chettinad idli, ganne ka ras, pesarattu, appalam, chettinad curry","everything was very good, calm, lovely ambience, soothing music, warm welcome, ambience was super cool"
Comorin,"North Indian, Desserts, Beverages",2500,"two horizon center, golf course road, gurgaon",4.8,803,4.4,217,https://www.zomato.com/ncr/comorin-golf-course-road,"101, 1st Floor, Plaza Level, Two Horizon Center, Golf Course Road, Gurgaon",9.11245E+11,28.45154524,77.0971011,"champaran style mutton, gunpowder idli, coktails, sev puri, haleem, chocolate dessert","bar games, vintage decor, soft music, fancy crowd, great recommendations, courteous staff"
Viet:Nom,"Vietnamese, Beverages",2000,"cyber hub, dlf cyber city, gurgaon",4.8,1381,4.0,75,https://www.zomato.com/ncr/vietnom-dlf-cyber-city,"17-18, DLF Phase 2, DLF Cyber Hub, Near DLF Cyber City, Gurgaon",9.18512E+11,28.49569519,77.08890092,not specified,not specified
Cafeteria & Co.,"Cafe, Continental, Italian, Fast Food, Oriental, Beverages",1300,"vijay nagar, new delhi",4.8,5228,4.1,2037,https://www.zomato.com/ncr/cafeteria-co-vijay-nagar-new-delhi,"G 14, Hudson Lane, Vijay Nagar, New Delhi",9.17043E+11,28.69448281,77.2042758,"peri peri chicken skewer, tropical heaven sundae, chicken cannelloni, banana nutella crepe, chipotle pizza, blueberry ice cream","highly recommended, amazing atmosphere, ambience is very nice, classy place, affordable, cordial staff"
Sana-Di-Ge,"Mangalorean, Seafood, Goan, South Indian, North Indian, Kerala",2200,"chanakyapuri, new delhi",4.8,2038,4.3,172,https://www.zomato.com/ncr/sana-di-ge-chanakyapuri-new-delhi,"22/48, Ground Floor, First Floor And Second Floor, Commercial Complex, Malcha Marg, Chanakayapuri, New Delhi",9.11141E+11,28.60191756,77.18709189,"interiors and the outdoor seating , along with seafood and authentic south indian delicacies",not specified
Pa Pa Ya,"Asian, Chinese, Thai, Japanese, Sushi, Malaysian, Momos, Beverages",2500,"select citywalk mall, saket, new delhi",4.8,4077,4.3,125,https://www.zomato.com/ncr/pa-pa-ya-saket-new-delhi,"A-3, Select Citywalk, District Centre, Saket, New Delhi",9.188E+11,28.52842842,77.21840534,not specified,not specified
Yum Yum Cha,"Asian, Japanese, Sushi, Desserts, Beverages, Rolls",1800,"cyber hub, dlf cyber city, gurgaon",4.8,1742,4.2,643,https://www.zomato.com/ncr/yum-yum-cha-dlf-cyber-city,"2E, Ground Floor, Tower-A, Building 10, DLF Cyber City, Gurgaon",9.1981E+11,28.4950508,77.0876302,"spicy basil noodle, takoyaki, crispy corn cakes, chilli bowl, sashimi platter, mochi ice cream","gastronomical experience, happy place, themed decor, comfortable seating, decoration, fancy crowd"
Coast Cafe,"Continental, Kerala",1400,"hauz khas village, new delhi",4.8,1472,4.3,2115,https://www.zomato.com/ncr/coast-cafe-hauz-khas-village-new-delhi,"H-2, 2nd & 3rd Floor, Hauz Khas Village, New Delhi",9.11142E+11,28.55481538,77.19520323,"garam curry chicken, aubergine curry, masala fish curry, kerala fish fry, kokum curry, avial","balcony seating, classy decor, perfect setting, calm, beautiful cafe, perfect ambience"
PizzaExpress,"Fast Food, Italian, Beverages, Desserts",1000,"ambience mall, dlf phase 3, gurgaon",4.8,3077,4.3,1831,https://www.zomato.com/ncr/pizzaexpress-dlf-phase-3,"T-317, 3rd Floor, Ambience Mall, DLF Phase 3, Gurgaon",9.11245E+11,28.50264536,77.09726773,not specified,not specified
The Big Chill Cakery,"Bakery, Desserts",400,"dlf mall of india, sector 18,  noida, noida",4.8,884,0.0,0,https://www.zomato.com/ncr/the-big-chill-cakery-sector-18-noida,"Ground Floor, DLF Mall Of India, Sector 18, Noida",9.11206E+11,28.56788211,77.32097134,"triple chocolate cheesecake, irish tiramisu, mushroom tart, irish cream coffee, flaky pastry, mississippi mud","pretty decor, behavior, more variety, packed on weekends, good options, favorite place"
Music & Mountains - Hillside Cafe,"Cafe, Italian, Continental, Fast Food, Salad, Beverages",2100,"m block market, greater kailash 1 (gk1), new delhi",4.7,3731,4.3,348,https://www.zomato.com/ncr/music-mountains-hillside-cafe-greater-kailash-gk-1-new-delhi,"M-23, M Block Market, Greater Kailash (GK) 1, New Delhi",9.17828E+11,28.5497806,77.2358045,not specified,not specified
Gulati,"North Indian, Biryani, Hyderabadi, Mughlai, Kebab",2500,"pandara road market, new delhi",4.7,6509,4.3,10500,https://www.zomato.com/ncr/gulati-pandara-road-new-delhi,"6, Pandara Road Market, New Delhi",9.11123E+11,28.608007,77.23014,"paneer gilafi, neza kebab, shahi veg platter, handi gosht, methi paneer, hyderabadi veg biryani","perfect family restaurant, worth waiting, classy place, efficient service, good for large groups, comfortable seating area"
Olive Bar & Kitchen,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",4000,"mehrauli, new delhi",4.7,2734,3.2,21,https://www.zomato.com/ncr/olive-bar-kitchen-mehrauli-new-delhi,"6-8, Kalka Das Marg, Mehrauli, New Delhi",9.1981E+11,28.52577788,77.18435403,"cheese souffle, fettucine, scallops, gnocchi, sunday brunches, date night","romantic vibe, romantic setting, valet service, sophisticated, perfect setting, romantic place"
The Grammar Room,"Continental, Desserts, Beverages",1200,"mehrauli, new delhi",4.7,1068,3.9,20,https://www.zomato.com/ncr/the-grammar-room-mehrauli-new-delhi,"6-8, Kalka Das Marg, Mehrauli, New Delhi",9.17429E+11,28.52594107,77.1843309,"mushroom melt, spicy fries, french toast, dessert counter, cookie, mocha","valet service, romantic seating, classy place, outdoor, brunch, cozy"
Chaina Ram Sindhi Confectioners,"Mithai, Street Food",350,"chandni chowk, new delhi",4.7,1155,0.0,0,https://www.zomato.com/ncr/chaina-ram-sindhi-confectioners-chandni-chowk-delhi,"6499, Fathepuri Chowk, Chandni Chowk, New Delhi",9.11124E+11,28.65659478,77.22325142,"sev badam, sohan halwa, pinni, malai ghewar, poori chole, kaju barfi","sweetshop+restaurant, breakfast, owner, amazing place, good taste, best place"
Sevilla - The Claridges,"Spanish, Italian, Desserts",4500,"the claridges, aurangzeb road, new delhi",4.7,1630,0.0,0,https://www.zomato.com/ncr/sevilla-the-claridges-dr-apj-abdul-kalam-road,"The Claridges, 12, Dr. A.P.J. Abdul Kalam Road, Dr APJ Abdul Kalam Road, Delhi NCR",9.1114E+11,28.6003355,77.2169236,"patata bravas, corn fed chicken, date night, duck, risotto, sangria","romantic getaway, romantic setting, candle light dinner, romantic place, sophisticated, perfect setting"
Bo Tai,"Thai, Japanese, Asian, Beverages",2500,"mehrauli, new delhi",4.7,1194,3.9,46,https://www.zomato.com/ncr/bo-tai-1-mehrauli-new-delhi,"6/4, Kalka Das Marg, Near Qutub Minar, Mehrauli, New Delhi",9.19871E+11,28.52563884,77.18419746,the restaurant uses bamboo and copper straws as eco-friendly alternatives.,not specified
Cafe Wink,"Cafe, Continental, Italian",800,"anand vihar, new delhi",4.7,3291,4.3,6149,https://www.zomato.com/ncr/cafe-wink-anand-vihar-new-delhi,"G-1, Plot 9, Sikka Galaxy, Shreshtha Vihar, Anand Vihar, New Delhi",9.1813E+11,28.6573105,77.3171005,"bbq spaghetti, bbq lasagna, veg omelette, spaghetti arrabiata, pasta al forno, exotica garlic bread","pretty cafe, good food good quality, peaceful ambience, affordable, awesome cafe, cute ambience"
Spezia Bistro,"Pizza, Chinese, Momos, Fast Food, Italian, Beverages, Continental",900,"delhi university-gtb nagar, new delhi",4.7,3829,0.0,0,https://www.zomato.com/ncr/spezia-bistro-delhi-university-gtb-nagar-new-delhi,"2525, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi",9.1999E+11,28.69486926,77.20431905,"baked chicken toscana, spicy mango mojito, classic chicken steak, choco ball, mushroom melt, blueberry pie","variety of pasta, great for birthdays, quiet, sit and read, cozy environment, reasonable cost"
Evoo - Eatery And Pizzeria,"Cafe, Italian, Desserts, Beverages",1500,"geetanjali enclave, new delhi",4.7,782,0.0,0,https://www.zomato.com/ncr/evoo-eatery-and-pizzeria-geetanjali-enclave-new-delhi,"B-2, Ground Floor, Shivalik, Geetanjali Pancheel Road, Near Sri Aurobindo College, Geetanjali Enclave, New Delhi",9.18368E+11,28.53327099,77.20625997,"grilled chicken stuffed, chocolate orange, lamb shank, gnocchi, pepperoni pizza, tiramisu","authentic, themed decor, gastronomical experience, cozy, packed on weekends, courteous staff"
Oh! Calcutta,"Bengali, Desserts",1500,"greater kailash 2 (gk2), new delhi",4.7,2337,4.4,2669,https://www.zomato.com/ncr/oh-calcutta-greater-kailash-gk-2-new-delhi,"Plot 4, Local Shopping Centre, Masjid Moth, Greater Kailash 2 (GK 2), New Delhi",9.1931E+11,28.53725711,77.23862182,not specified,not specified
Greenr Cafe,"Cafe, Italian, Mexican, Salad, Healthy Food, Desserts, Mediterranean",1200,"32nd avenue, nh8, gurgaon, gurgaon",4.7,954,4.3,619,https://www.zomato.com/ncr/greenr-cafe-sector-15,"EL-01, 1st Floor, 32nd Milestone, NH 8, Part 2, Sector 15, Gurgaon",9.17043E+11,28.4615361,77.04978224,"a conscious and community oriented space, focussed on nutritive and processed-food-free vegetarianism. engaging art and lifestyle workshops are an integral part of our experiential cafe.",not specified
Downtown - Diners & Living Beer Cafe,"Bar Food, North Indian, Fast Food, Italian, Chinese, Beverages",2200,"sector 29, gurgaon",4.7,5344,0.0,0,https://www.zomato.com/ncr/downtown-diners-living-beer-cafe-sector-29,"SCO 34, Main Market, Sector 29, Gurgaon",9.19582E+11,28.46814663,77.06374515,"american fried chicken, veg farm pizza, strawberry margarita, vegetable seekh, dark beer, fattoush","nice ambience with music, xbox, bowling, best pub, rock music, wooden interiors"
Chili's Grill & Bar,"Mexican, Italian, American, Tex-Mex, Beverages, Desserts",1200,"pacific mall, tagore garden, new delhi",4.7,3956,4.3,3545,https://www.zomato.com/ncr/chilis-grill-bar-tagore-garden-new-delhi,"S 8 & 9, 2nd Floor, Pacific Mall, Tagore Garden, New Delhi",9.19711E+11,28.64220025,77.10657667,"molten chocolate chunk, cajun pasta, smoked chicken leg, santa fe salad, tripple dipper, grilled chicken fajita","variety of selection, good server, relaxed atmosphere, courteous service, family place, warm service"
Theos,"Cafe, Desserts, Salad",1500,"sector 41, noida",4.7,2696,4.3,3613,https://www.zomato.com/ncr/theos-sector-41-noida,"Near HP Petrol Pump, Dynamic House, Main Dadri Road, Sector 41, Noida",9.1875E+11,28.56147307,77.36089703,not specified,not specified
Kuuraku,"Japanese, Sushi",1700,"global foyer mall, golf course road, gurgaon",4.7,1169,4.2,188,https://www.zomato.com/ncr/kuuraku-golf-course-road,"Ground Floor, Global Foyer Mall, Golf Course Road, Gurgaon",9.19818E+11,28.45988429,77.09414564,not specified,not specified
Threesixtyone Degrees - The Oberoi,"Asian, Continental, North Indian, Mughlai, Desserts, Beverages",5500,"the oberoi, udyog vihar, gurgaon",4.7,1019,0.0,1,https://www.zomato.com/ncr/threesixtyone-degrees-the-oberoi-udyog-vihar,"443, Phase 5, Udyog Vihar, Gurgaon",9.11242E+11,28.50198271,77.08698515,"buffet, chocolate cake, thai curry, salads, virgin mojito, dimsums","outside deck, poolside view, sophisticated, amazing view, beautiful view, luxury"
Jom Jom Malay,"Asian, Malaysian, Thai, Chinese, Salad, Momos",1800,"saket, new delhi",4.7,935,4.1,427,https://www.zomato.com/ncr/jom-jom-malay-saket-new-delhi,"S12-A, 2nd Floor, Select City Walk, Saket, New Delhi",9.188E+11,28.52869059,77.21953724,not specified,not specified
Andrea's Eatery,"Asian, Italian, Beverages, Continental, Fast Food, Desserts",2000,"select citywalk mall, saket, new delhi",4.7,1380,4.1,1527,https://www.zomato.com/ncr/andreas-eatery-saket-new-delhi,"Shop 48A-51, 1st Floor, Select Citywalk Mall, Saket, New Delhi",9.18589E+11,28.52836598,77.21856024,"katsu chicken curry, spinach ricotta ravioli, mushroom lasagna, butter garlic prawns, jasmine rice, sauteed vegetables","efficient service, relaxed atmosphere, themed decor, courteous service, live kitchen, good for large groups"
The Ivy,"Mediterranean, Lebanese, Continental, Desserts",1300,"baani square, sector 50, gurgaon",4.7,1249,4.2,5757,https://www.zomato.com/theivy,"89/90, Ground Floor, Baani Square, Sector 50, Gurgaon",9.19871E+11,28.42523183,77.05690317,not specified,not specified
The Saffron Boutique,"North Indian, Mughlai, Chinese",1600,"hajipur, noida",4.7,1714,4.1,5163,https://www.zomato.com/ncr/the-saffron-boutique-hajipur,"26 And 27, Ashirwaad Complex, Sector 104, Near Hajipur, Noida",9.1991E+11,28.53913421,77.36620814,not specified,not specified
Master Koii's,"Asian, Chinese, Thai, Malaysian, Korean",1900,"sushant lok, gurgaon",4.7,833,4.3,3351,https://www.zomato.com/ncr/master-koiis-sushant-lok,"Shop 19, Flavor Town, Bestech Chambers, Sushant Lok, Gurgaon",9.1932E+11,28.46133832,77.0780021,"balinese chicken satay, cantonese chilli chicken, general tsos chicken, korean bibimbap, burmese chicken curry, korean sushi","good food good quality, delivery on time, cozy ambience, relaxed atmosphere, perfect packaging, cosy place"
Kunzum Travel Cafe,Cafe,500,"hauz khas village, new delhi",4.7,642,0.0,0,https://www.zomato.com/ncr/kunzum-travel-cafe-hauz-khas-village-new-delhi,"T-49, First Floor, Hauz Khas Village, New Delhi",9.11127E+11,28.55358321,77.19443243,"brewed coffee, chocolate cookies, green tea, hot coffee","unique cafe, free wifi, bookshelf, cozy environment, sit and read, warm place"
Echoes Living Room,"Cafe, Continental, Chinese, Fast Food, Desserts, Beverages",800,"subhash nagar, new delhi",4.7,3,3.9,1,https://www.zomato.com/ncr/echoes-living-room-subhash-nagar-new-delhi,"Subhash Nagar, New Delhi",9.19899E+11,28.63420463,77.11627018,"cafe, continental, american, italian, mexican, beverages",not specified
AMA Cafe,"Cafe, Continental, Desserts, Beverages",550,"majnu ka tila, new delhi",4.6,5229,4.3,1684,https://www.zomato.com/ncr/ama-cafe-majnu-ka-tila-new-delhi,"House 6, New Colony, Majnu ka Tilla, New Delhi",9.18449E+11,28.702644,77.228294,"carrot cinnamon, pancakes and maple syrup, pancake breakfast, choco walnut brownie, banana muffin, apple cinnamon cake","budget friendly food, price vs portion ratio, aesthetic ambience, pretty cafe, cozy vibe, soothing ambience"
Bukhara - ITC Maurya,"North Indian, Kebab",6500,"itc maurya, chanakyapuri, new delhi",4.6,4657,0.0,0,https://www.zomato.com/ncr/bukhara-itc-maurya-chanakyapuri-new-delhi,"ITC Maurya, Chanakyapuri, New Delhi",9.11146E+11,28.5982159,77.17364732,"sikanderi raan, meat masala, chicken khurchan, onion kulcha, jumbo prawns, firni","modern vibe, jazz music, sophisticated, safe place, efficient service, worth the price"
Leo's,"Pizza, Italian, Beverages",1700,"vasant vihar, new delhi",4.6,1179,0.0,0,https://www.zomato.com/ncr/leos-vasant-vihar-new-delhi,"28, Basant Lok Market, Vasant Vihar, New Delhi",9.19821E+11,28.55856774,77.16385525,"pancetta pizza, pepperoni pizza pie, parsley butter, prosciutto, quattro formaggio pizza, neapolitan pizza","intimate seating, quaint little place, service and quality of food, good food and good service, sit and read, good portion size"
Pirates of Grill,"North Indian, Mughlai",1500,"ambience mall, vasant kunj, new delhi",4.6,952,3.9,27,https://www.zomato.com/ncr/pirates-of-grill-vasant-kunj-new-delhi,"T 312 & 313, 3rd Floor, Ambience Mall, Vasant Kunj, New Delhi",9.17428E+11,28.54102895,77.15504117,not specified,not specified
Roadhouse Cafe,"Cafe, Pizza, Italian, Wraps, Asian, Chinese, Thai, Beverages",900,"greater kailash 1 (gk1), new delhi",4.6,1162,4.2,1486,https://www.zomato.com/ncr/roadhouse-cafe-greater-kailash-gk-1-new-delhi,"M 22, Second Floor, Main Market, Greater Kailash 1 (GK 1), New Delhi",9.1965E+11,28.54984981,77.23574918,not specified,not specified
Plum By Bent Chair,"Chinese, Japanese, Thai, Asian, Beverages",2200,"aerocity, new delhi",4.6,2402,0.0,1,https://www.zomato.com/ncr/plum-by-bent-chair-aerocity-new-delhi,"Ground Floor, Worldmark 2, Aerocity, New Delhi",9.17303E+11,28.55154,77.122704,"elderflower cocktail, thai mojito, cappuccino frappe, turnip cake, honey ice cream, peach mocktail","great taste value for money, good quality with good taste, decor is excellent, awesome interiors, themed decor, best decor"
Kiyan - The Roseate,"Thai, European, North Indian, Pizza, Salad",5500,"the roseate, kapashera, new delhi",4.6,1124,0.0,2,https://www.zomato.com/ncr/kiyan-the-roseate-kapashera-new-delhi,"The Roseate, 21st Milestone, Samalkha, NH 8, Kapashera, New Delhi",9.1113E+11,28.52511803,77.10022621,not specified,not specified
Dragonfly Experience,"Modern Indian, North Indian, Beverages, European, Asian, Desserts",3000,"worldmark 1, aerocity, new delhi",4.6,1021,0.0,0,https://www.zomato.com/ncr/dragonfly-experience-aerocity-new-delhi,"Worldmark 1, Aerocity, New Delhi",9.17304E+11,28.55059,77.12299,not specified,not specified
AB's - Absolute Barbecues,"North Indian, Continental, Desserts, Salad",1100,"mgf metropolis mall, mg road, gurgaon",4.6,8002,3.7,53,https://www.zomato.com/ncr/abs-absolute-barbecues-mg-road,"Shop LG-01-02-03, Lower Ground Floor, Metropolis Mall, Sector 28, Near MG Road Metro Station, MG Road, Gurgaon, Gurgaon",9.17337E+11,28.47954578,77.08169919,"smoked cottage cheese, chilli chicken wing, chilli ice cream, pineapple grill, masala corn, rabbit","value for money experience, budget food, live grill, excellent service food, tasty and awesome food, courteous service"
Qureshi Kabab Corner,"Mughlai, Kebab",400,"jama masjid, new delhi",4.6,1453,0.0,0,https://www.zomato.com/ncr/qureshi-kabab-corner-jama-masjid-new-delhi,"Opposite Gate 1, Jama Masjid, New Delhi",9.19712E+11,28.64987044,77.2359309,"beef kabab, seekh kebab roll, chicken kabab, kababs, chicken seekh, rumali roti","very cheap, great seating capacity, desi vibes, pocket friendly, cleanliness, family crowd"
Clock Tower,"North Indian, Asian, Beverages, Fast Food",2500,"golf course road, gurgaon",4.6,1300,0.0,9,https://www.zomato.com/ncr/clock-tower-golf-course-road,"Near Rapid Metro Pillar 141, Golf Course Road, Gurgaon",9.19599E+11,28.44812955,77.10074488,not specified,not specified
Saravana Bhavan,"South Indian, Beverages",600,"connaught place, new delhi",4.6,8305,0.0,10,https://www.zomato.com/ncr/saravana-bhavan-connaught-place-new-delhi,"P-13, Connaught Circle, Connaught Place, New Delhi",9.11129E+11,28.6323048,77.21651338,"kara dosa, rava khichdi, ghee idli, ghee roast paper masala dosa, sweet dahi vada, mini idlies","worth waiting, big restaurant, south indian food, ample seating area, pure veg, authenticity"
C.I.A Call It Asiian,"Thai, Chinese, Sushi, Momos",700,"greater kailash 2 (gk2), new delhi",4.6,1373,4.2,10800,https://www.zomato.com/ncr/c-i-a-call-it-asiian-greater-kailash-gk-2-new-delhi,"13- 16, Narmada Shopping Complex, Alaknanda Road, Near Don Bosco School, Greater Kailash 2 (GK 2), New Delhi",9.11142E+11,28.52776565,77.24686693,not specified,not specified
Open Tap,"Finger Food, North Indian, Continental, Italian",1800,"south point mall, golf course road, gurgaon",4.6,936,0.0,0,https://www.zomato.com/ncr/open-tap-golf-course-road,"Upper Ground Floor, DLF South Point Mall, Golf Course Road, Gurgaon",9.18801E+11,28.44796211,77.09911142,"kamikaze, chicken bbq wings, chicken slider, craft beer, hummus pita, tawa mutton","chill with friends, wooden interiors, amazing music, packed on weekends, fancy crowd, dj"
Hamoni: Cafe By The Greens,"Cafe, North Indian, Italian, Desserts, Beverages",1200,"sector 23, gurgaon",4.6,959,3.4,74,https://www.zomato.com/ncr/hamoni-cafe-by-the-greens-sector-23,"CK Farm, Carterpuri Village, Sector 23A, Near Sector 23, Gurgaon",9.1729E+11,28.500857,77.053714,"sizzler brownie, coffee hazelnut, cheese balls, hot chocolate, mezze platter, sunday brunch","peaceful ambience, soothing ambience, beautiful view, peaceful place, fancy crowd, cleanliness"
Indian Grill Room,"North Indian, Mughlai, Beverages, Kebab",1800,"suncity business tower, golf course road, gurgaon",4.6,3438,4.1,12400,https://www.zomato.com/ncr/indian-grill-room-golf-course-road,"315, 3rd Floor, Suncity Business Tower, Golf Course Road, Gurgaon",9.1991E+11,28.43348273,77.1054012,"pineapple jalebi, ajwain paneer tikka, gulkand ki kheer, triffle pudding, tandoori ananas, blue ocean mocktail","buffet variety and quality, classy decor, attentive service, good food good quality, live kitchen, complimentary drinks"
Noida Social,"North Indian, Chinese, Burger, Rolls, Pizza, Momos, Continental, Beverages",1300,"dlf mall of india, sector 18,  noida, noida",4.6,944,4.2,465,https://www.zomato.com/ncr/noida-social-sector-18-noida,"C 412, 3rd Floor, DLF Mall Of India, Sector 18, Noida",9.17838E+11,28.56683885,77.32093547,"cheesecake, cocktails, oreo shake, drink, platter, dessert","hospitality was amazing, ambience was lovely, variety of selection, service is great and fast, service and quality of food, ambience was super cool"
K3 - JW Marriott New Delhi,"North Indian, Chinese, Italian, Momos",3500,"jw marriott new delhi, new delhi",4.6,1608,0.0,0,https://www.zomato.com/ncr/k3-jw-marriott-new-delhi-aerocity-new-delhi,"Asset Area 4, Hospitality District, Aerocity, New Delhi",9.11145E+11,28.5532552,77.1219546,"dinner buffet, dessert counter, duck, sunday brunch, dim sums, tiramisu","cooking stations, good food and good ambience, sophisticated, worth the price, live kitchen, luxury"
Barbeque Nation,"North Indian, BBQ, Beverages, Desserts",1500,"unity one mall, janakpuri, new delhi",4.6,2881,3.5,1280,https://www.zomato.com/ncr/barbeque-nation-vikaspuri-new-delhi,"Second Floor, Unity One Mall, Near Janakpuri West Metro Station, Vikaspuri, New Delhi",9.18035E+11,28.62861127,77.07575843,"grilled shrimp, cajun potatoes, matka phirni, pan kulfi, grilled pineapple, barbeque","live grill, complimentary drinks, service is great and fast, themed decor, courteous service, comfortable seating area"
Di Ghent Cafe,"European, Belgian",1700,"cross point mall, dlf phase 4, gurgaon",4.6,2346,4.2,2886,https://www.zomato.com/ncr/di-ghent-cafe-dlf-phase-4,"207, Level 2, Cross Point Mall, DLF Phase 4, Gurgaon",9.11244E+11,28.4683763,77.0831096,"yogurt smoothie, lamb lasagna, egg benedict, chicken panini, baguette, smoked salmon","breakfast joint, attentive service, warm place, cosy ambience, warm ambience, beautiful cafe"
Vapour Bar Exchange,"Continental, Italian, American, North Indian",1600,"sohna road, gurgaon",4.6,1208,3.5,198,https://www.zomato.com/ncr/vapour-bar-exchange-sohna-road,"Shop 1, Vipul Trade Centre, Sohna Road, Gurgaon",9.19583E+11,28.40647828,77.04205077,not specified,not specified
Kiara Soul Kitchen,"Asian, North Indian, Oriental, Desserts, Juices, Beverages",1800,"m block market, greater kailash 2 (gk2), new delhi",4.6,595,3.8,118,https://www.zomato.com/ncr/kiara-soul-kitchen-greater-kailash-gk-2-new-delhi,"M 30, 1st Floor, M Block Market, Greater Kailash 2 (GK 2), New Delhi",080 47483507,28.53320796,77.24157427,not specified,not specified
The Yellow Chilli,"North Indian, Mughlai, Chinese, Beverages, Desserts, Kebab",1600,"sector 110, noida",4.6,2575,3.9,1207,https://www.zomato.com/ncr/the-yellow-chilli-sector-110-noida,"GT 1 - 2, 1st Floor, Sector 104, Near Sector 110, Noida",9.19312E+11,28.54035801,77.36824997,"shyam savera, lalla mussa dal, kurkuri bhindi, paneer taka tak, dahi kabab, chilli garlic noodles","food and service, ambience is beautiful, buffet variety and quality, keto options, taste of food, extensive bar menu"
