restaurant_name,category,pricing_for_2,locality,dining_rating,dining_review_count,delivery_rating,delivery_rating_count,website,address,phone_no,latitude,longitude,known_for2,known_for22
Drifters Wok,"Chinese, Thai, Asian, Momos",500,"sector 50, gurgaon",4.1,286,4.0,2338,https://www.zomato.com/ncr/drifters-wok-sector-50,"G-47, Baani Square, Sector 50, Gurgaon",9.11244E+11,28.42544412,77.05729544,"student crowd, good wifi, authentic taste, fresh food, nice ambience, good taste",not specified
Saffron Biryani,"Biryani, Kebab",300,"mg road, gurgaon",4.1,266,3.4,160,https://www.zomato.com/ncr/saffron-biryani-mg-road-gurgaon,"81 A, Block A, Sushant Lok 1, MG Road Metro Station, MG Road, Gurgaon",9.18852E+11,28.47861818,77.08020383,"tawa chicken seekh, mutton raan, mughlai food, chicken lollipop, chicken biryani, rolls","polite staff, main course, good place, ambiance, food quality, great place"
Nazeer Foods,"North Indian, Biryani, Fast Food, Beverages",800,"pandav nagar, new delhi",4.1,723,3.9,10700,https://www.zomato.com/ncr/nazeer-foods-pandav-nagar-new-delhi,"C-2, 72/73, Near Underbridge, South Ganesh Nagar, Pandav Nagar, New Delhi",9.19811E+11,28.62615101,77.28583675,"choco truffle, pastries, cookies, cakes, soya chaap, coffee",not specified
81C Legacy,"North Indian, Mughlai, Healthy Food, Chinese, Fast Food",900,"omega 2, greater noida",4.1,198,3.7,506,https://www.zomato.com/ncr/81c-legacy-omega-2-greater-noida,"Shop AGF 3, Block A, Omaxe NRI City Centre Mall, Omega 2, Greater Noida",9.19312E+11,28.46381806,77.51144707,"taco pizza, veggie delite, quesadilla, stuffed garlic bread, tacos, paneer pizza","tasty stuff, on time delivery, elegantly decorated, pocket friendly, great recommendations, great ambiance"
The Pizza Square,"Pizza, Fast Food, Beverages",500,"sector 83, gurgaon",4.1,487,4.0,8567,https://www.zomato.com/ncr/the-pizza-square-3-sector-83,"F 151, Sapphire 83, Sector 83, Gurgaon",9.1877E+11,28.39311166,76.96741026,"mughlai chaap, noodle, chilli potatoes, veg thali, daal makhni, chilly chicken","bang for the buck, great recommendations, great ambiance, prompt service, amazing food, owner"
Food Mistri,"North Indian, Chinese, Fast Food, Rolls",500,"indirapuram, ghaziabad",4.1,460,3.3,10700,https://www.zomato.com/ncr/food-mistri-indirapuram-ghaziabad,"Opposite Cloud 9 Exit Gate, Near Axis Bank, Pusta Kanawani Road, Indirapuram, Ghaziabad",9.18883E+11,28.646353,77.386421,"keema curry, murg rara, navratan korma, murg makhani, murg tikka, soya tikka","pocket friendly prices, comfortable seating, quick delivery, best food under best budget, spill proof packaging, portion"
The Taste Of Mughals,"North Indian, Mughlai",700,"baani square, sector 50, gurgaon",4.1,486,3.5,4390,https://www.zomato.com/ncr/the-taste-of-mughals-sector-50,"G-38, Ground Floor, Baani Square, Sector 50, Gurgaon",9.19911E+11,28.42531468,77.05760088,"bhindi fry, matar mushroom, paneer parantha, paneer bhurji, chana masala, dal fry","food is 5 star, tasty stuff, many choices, delivery on time, inexpensive, nice crowd"
Pizza 99,"Pizza, Fast Food",300,"sector 83, gurgaon",4.1,908,3.6,6548,https://www.zomato.com/khaojifoods,"Shop 115, Signature Global Synera, Sector 81, Near Sector 83, Gurgaon",9.19312E+11,28.38434525,76.95204489,"cashless payments, ambience was super cool, food menu, rooftop, great value, weekend brunch",not specified
7 Old Town,"North Indian, Asian, Continental",1700,"hauz khas, new delhi",4.0,222,0.0,3,https://www.zomato.com/ncr/7-old-town-hauz-khas-new-delhi,"7, Aurobindo Marg, Near Essex Farms, Hauz Khas, New Delhi",011 71565038,28.54364024,77.2010367,"daal ardor, stuffed mushroom caps, avalanche, virgin pinacolada, dragon chicken, thali options","food nice tasty and fresh, good outdoor seating, no cover charge, a black tie crowd, royal ambience, ambience is very nice"
Ardor 2.1,"North Indian, Chinese, Continental, Italian, Pizza, Seafood, Desserts, Beverages",1800,"connaught place, new delhi",4.0,4138,4.0,196,https://www.zomato.com/ncr/ardor-2-1-connaught-place-new-delhi,"N-55/56 & 88/89, Outer Circle, Connaught Place, New Delhi",9.19812E+11,28.63012154,77.22022153,"fruit passion mocktail, veg ceaser salad, chicken tikka pizza, sangria, white sauce pasta, hummus","discriminative management, kid friendly, live entertainment, great food great service, rooftop ambience, peaceful ambience"
